,Gene
9,CICP27
58,NOC2L
60,PLEKHN1
63,HES4
71,C1orf159
81,SDF4
88,ACAP3
91,INTS11
93,RP5-890O3.9
96,DVL1
111,ATAD3B
118,RP11-345P4.9
119,MIB2
120,MMP23B
123,SLC35E2B
149,PEX10
150,PLCH2
151,RP3-395M20.2
153,PANK4
155,RP3-395M20.12
157,TNFRSF14
159,RP3-395M20.9
160,FAM213B
161,MMEL1
178,RP11-46F15.2
183,RP5-1092A11.2
190,CEP104
192,C1orf174
200,AJAP1
212,RNF207
217,ACOT7
219,ESPN
235,CAMTA1
247,PER3
248,RP3-467L1.4
252,PARK7
279,RP3-477M7.6
285,GPR157
289,H6PD
315,KIF1B
323,PEX14
325,CASZ1
326,RP4-734G22.3
334,EXOSC10
375,TNFRSF1B
450,RP3-467K16.4
452,CTRC
466,PLEKHM2
478,ZBTB17
493,ANO7L1
496,FBXO42
497,SZRD1
498,RP11-430L17.1
518,EIF1AXP1
537,ATP13A2
582,NBL1
610,DDOST
633,ALPL
638,LDLRAD2
675,LUZP1
681,LINC01355
695,ELOA
719,NIPAL3
727,RUNX3
742,TMEM50A
752,MTFR1L
779,SH3BGRL3
780,UBXN11
781,CD52
790,DPPA2P2
799,ARID1A
885,TAF12
934,SERINC2
949,SPOCD1
956,TMEM39B
958,KPNA6
965,EIF3I
970,MARCKSL1
987,S100PBP
995,AK2
999,TRIM62
1002,RP11-415J8.7
1004,RP11-415J8.3
1042,NCDN
1044,TFAP2E
1045,PSMB2
1049,AGO4
1052,AGO3
1084,MEAF6
1100,MTF1
1117,RRAGC
1134,RP11-69E11.4
1136,PABPC4
1155,CAP1
1156,PPT1
1161,RP1-39G22.7
1162,ZMPSTE24
1167,RP1-228H13.2
1169,RP1-228H13.5
1170,RP11-656D10.7
1171,ZFP69
1173,EXO5
1220,PPIH
1222,YBX1
1224,P3H1
1273,RP5-1198O20.4
1284,DMAP1
1288,RNF220
1297,SNORD46
1301,PLK3
1311,HECTD3
1331,CCDC17
1332,GPBP1L1
1336,IPP
1341,PIK3R3
1350,LRRC41
1361,MKNK1
1405,SLC5A9
1427,RP11-183G22.1
1452,RNU6-1281P
1454,OSBPL9
1468,KTI12
1480,CC2D1B
1489,FAM159A
1534,YIPF1
1542,TCEANC2
1544,RP4-758J24.4
1548,MRPL37
1549,SSBP3
1561,PARS2
1569,BSND
1583,RP1-158P9.1
1606,OMA1
1617,RP4-794H19.1
1654,USP1
1672,FOXD3-AS1
1676,ALG6
1677,ITGB3BP
1678,EFCAB7
1681,DLEU2L
1691,CACHD1
1712,LEPROT
1727,MIER1
1737,SERBP1
1744,GADD45A
1785,RP3-333A15.1
1809,FPGT
1831,ACADM
1838,ST6GALNAC3
1856,USP33
1863,NEXN-AS1
1864,NEXN
1875,PTGFR
1892,HNRNPA1P64
1930,SPATA1
1931,CTBS
1940,RP11-33E12.2
1942,C1orf52
1956,ODF2L
1965,RP4-612B15.3
1966,SH3GLB1
1968,SELENOF
1969,HS2ST1
1985,PKN2
1989,RP11-82K18.2
1994,PTGES3P1
1995,GBP2
2041,KIAA1107
2042,RP4-621B10.8
2051,RP4-593M8.1
2069,CCDC18
2083,DNTTIP2
2084,GCLM
2088,MTCO3P21
2096,ARHGAP29
2102,ABCD3
2134,PTBP2
2135,DPYD
2142,RP11-272L13.4
2166,MFSD14A
2168,SASS6
2193,RP11-421L21.2
2194,RP11-421L21.3
2197,S1PR1
2198,RP4-575N6.5
2217,AMY2B
2243,VAV3
2247,SLC25A24
2255,NBPF6
2262,FNDC7
2264,STXBP3
2268,GPSM2
2281,KIAA1324
2282,SARS
2286,SORT1
2289,ATXN7L2
2293,GNAI3
2295,AMPD2
2296,RP5-1160K1.6
2298,GSTM4
2309,RP11-195M16.3
2321,KCNC4
2340,CD53
2342,RP11-96K19.2
2343,LRIF1
2348,CEPT1
2370,RAP1A
2385,WNT2B
2387,ST7L
2388,CAPZA1
2393,RHOC
2408,MAGI3
2411,PHTF1
2412,RP4-730K3.3
2413,RSBN1
2421,HIPK1
2428,RP4-591B8.3
2436,RN7SL432P
2444,TSPAN2
2445,LINC01765
2447,NGF
2460,LINC01649
2461,SLC22A15
2463,MAB21L3
2465,ATP1A1
2503,WDR3
2511,WARS2
2534,LINC00622
2545,NOTCH2
2548,SEC22B
2563,CH17-118O6.3
2565,FCGR1B
